base_seed,decl_id,V_mean,V_min,V_max,V_spread,n_counts_held,total_count_points,likely_locks,expected_tricks,recommended_bid,conservative_bid,holds_3-2,holds_4-1,holds_5-0,holds_5-5,holds_6-4
39,9,33.333333333333336,16.0,42.0,26.0,3,10,3,5.555555555555556,34,0,True,True,True,False,False
40,0,-23.333333333333332,-40.0,8.0,48.0,0,0,0,0.0,0,0,False,False,False,False,False
41,1,-20.666666666666668,-40.0,4.0,44.0,1,0,0,0.0,0,0,False,True,False,False,False
42,2,19.333333333333332,-4.0,42.0,46.0,2,0,2,3.222222222222222,0,0,False,False,False,True,True
43,3,7.333333333333333,-20.0,38.0,58.0,3,10,0,1.222222222222222,0,0,False,False,True,True,True
44,4,31.333333333333332,10.0,42.0,32.0,2,20,2,5.222222222222222,31,0,False,True,False,False,True
45,5,8.666666666666666,-20.0,42.0,62.0,2,0,0,1.4444444444444444,0,0,False,True,False,True,False
46,6,8.666666666666666,4.0,16.0,12.0,2,5,2,1.4444444444444444,0,0,True,True,False,False,False
47,7,25.333333333333332,-4.0,40.0,44.0,1,0,1,4.222222222222222,30,0,True,False,False,False,False
48,8,8.0,-4.0,26.0,30.0,2,15,2,1.3333333333333333,0,0,False,True,True,False,False
49,9,26.666666666666668,-4.0,42.0,46.0,1,5,1,4.444444444444445,30,0,False,False,False,False,True
50,0,30.0,8.0,42.0,34.0,1,10,1,5.0,31,0,True,False,False,False,False
51,1,17.333333333333332,-4.0,38.0,42.0,1,10,1,2.888888888888889,0,0,False,False,False,True,False
52,2,32.666666666666664,14.0,42.0,28.0,2,10,2,5.444444444444444,31,0,True,False,True,False,False
53,3,6.666666666666667,-14.0,40.0,54.0,1,5,0,1.1111111111111112,0,0,True,False,False,False,False
54,4,-20.0,-28.0,-16.0,12.0,2,5,0,0.0,0,0,False,False,False,True,True
55,5,32.666666666666664,18.0,42.0,24.0,1,10,1,5.444444444444444,31,0,False,False,True,False,False
56,6,-7.333333333333333,-40.0,24.0,64.0,2,5,0,0.0,0,0,False,True,False,True,False
57,7,29.333333333333332,6.0,42.0,36.0,2,10,2,4.888888888888888,30,0,False,False,True,False,True
58,8,-10.0,-28.0,16.0,44.0,0,5,0,0.0,0,0,False,False,False,False,False
59,9,32.666666666666664,26.0,42.0,16.0,2,0,2,5.444444444444444,31,30,False,False,False,True,True
60,0,18.0,6.0,40.0,34.0,0,15,0,3.0,0,0,False,False,False,False,False
61,1,14.666666666666666,-24.0,42.0,66.0,1,10,0,2.444444444444444,0,0,False,True,False,False,False
62,2,34.0,30.0,42.0,12.0,2,15,2,5.666666666666667,34,31,False,False,True,False,True
63,3,11.333333333333334,-16.0,42.0,58.0,1,10,0,1.888888888888889,0,0,False,False,True,False,False
64,4,-28.0,-30.0,-26.0,4.0,3,5,0,0.0,0,0,True,False,False,True,True
65,5,37.333333333333336,28.0,42.0,14.0,2,20,2,6.222222222222222,38,30,False,False,True,True,False
66,6,2.6666666666666665,-16.0,18.0,34.0,1,10,0,0.4444444444444444,0,0,False,False,False,True,False
67,7,23.333333333333332,16.0,38.0,22.0,1,5,1,3.888888888888889,0,0,True,False,False,False,False
68,8,9.333333333333334,-4.0,18.0,22.0,1,15,1,1.5555555555555556,0,0,True,False,False,False,False
69,9,40.0,38.0,42.0,4.0,2,20,2,6.666666666666667,42,38,True,False,True,False,False
70,0,-4.666666666666667,-26.0,6.0,32.0,1,15,0,0.0,0,0,False,False,True,False,False
71,1,9.333333333333334,-8.0,42.0,50.0,1,5,1,1.5555555555555556,0,0,True,False,False,False,False
72,2,16.666666666666668,-30.0,42.0,72.0,1,5,0,2.777777777777778,0,0,False,True,False,False,False
73,3,1.3333333333333333,-30.0,28.0,58.0,2,15,0,0.2222222222222222,0,0,False,False,True,False,True
74,4,-29.333333333333332,-42.0,-18.0,24.0,1,0,0,0.0,0,0,False,False,False,True,False
75,5,18.0,6.0,42.0,36.0,1,10,1,3.0,0,0,False,False,True,False,False
76,6,16.666666666666668,-2.0,28.0,30.0,1,10,1,2.777777777777778,0,0,False,False,False,False,True
77,7,36.0,28.0,42.0,14.0,3,15,3,6.0,38,30,False,True,True,False,True
78,8,6.666666666666667,-8.0,26.0,34.0,2,10,2,1.1111111111111112,0,0,False,True,True,False,False
79,9,10.666666666666666,6.0,18.0,12.0,1,5,1,1.7777777777777777,0,0,True,False,False,False,False
80,0,39.333333333333336,38.0,40.0,2.0,2,5,2,6.555555555555556,38,38,False,True,False,True,False
81,1,13.333333333333334,-6.0,42.0,48.0,2,15,2,2.2222222222222223,0,0,True,False,True,False,False
82,2,33.333333333333336,18.0,42.0,24.0,1,5,1,5.555555555555556,34,0,False,True,False,False,False
83,3,-14.666666666666666,-42.0,16.0,58.0,0,5,0,0.0,0,0,False,False,False,False,False
84,4,22.0,18.0,24.0,6.0,1,20,1,3.6666666666666665,0,0,False,False,True,False,False
85,5,-10.0,-40.0,16.0,56.0,0,5,0,0.0,0,0,False,False,False,False,False
86,6,0.6666666666666666,-40.0,38.0,78.0,2,10,0,0.1111111111111111,0,0,False,True,False,True,False
87,7,3.3333333333333335,-36.0,40.0,76.0,3,5,0,0.5555555555555556,0,0,True,True,False,True,False
88,8,2.6666666666666665,2.0,4.0,2.0,1,10,1,0.4444444444444444,0,0,False,False,False,True,False
89,9,27.333333333333332,4.0,42.0,38.0,2,10,2,4.555555555555555,30,0,False,True,False,True,False
90,0,-20.666666666666668,-38.0,-8.0,30.0,0,0,0,0.0,0,0,False,False,False,False,False
91,1,20.666666666666668,-4.0,40.0,44.0,1,5,1,3.4444444444444446,0,0,False,False,False,False,True
92,2,-8.666666666666666,-38.0,30.0,68.0,1,15,0,0.0,0,0,False,False,True,False,False
93,3,8.0,4.0,14.0,10.0,1,10,1,1.3333333333333333,0,0,False,False,True,False,False
94,4,-0.6666666666666666,-28.0,42.0,70.0,2,0,0,0.0,0,0,False,False,False,True,True
95,5,-10.0,-40.0,36.0,76.0,2,0,0,0.0,0,0,False,True,False,False,True
96,6,34.666666666666664,20.0,42.0,22.0,3,10,3,5.777777777777778,34,0,True,False,True,False,True
97,7,38.666666666666664,38.0,40.0,2.0,3,15,3,6.444444444444444,38,38,True,False,True,False,True
98,8,7.333333333333333,-16.0,20.0,36.0,0,5,0,1.222222222222222,0,0,False,False,False,False,False
99,9,9.333333333333334,-4.0,28.0,32.0,2,20,2,1.5555555555555556,0,0,False,False,True,True,False
100,0,22.666666666666668,6.0,42.0,36.0,0,20,0,3.777777777777778,0,0,False,False,False,False,False
101,1,18.0,-6.0,30.0,36.0,1,25,1,3.0,0,0,False,False,True,False,False
102,2,32.666666666666664,26.0,42.0,16.0,3,15,3,5.444444444444444,31,30,False,True,True,False,True
103,3,34.666666666666664,20.0,42.0,22.0,1,5,1,5.777777777777778,34,0,False,False,False,True,False
104,4,22.0,6.0,42.0,36.0,1,15,1,3.6666666666666665,0,0,True,False,False,False,False
105,5,18.0,14.0,26.0,12.0,2,15,2,3.0,0,0,False,True,True,False,False
106,6,4.0,-42.0,36.0,78.0,2,20,0,0.6666666666666666,0,0,False,False,True,True,False
107,7,36.666666666666664,30.0,42.0,12.0,2,10,2,6.111111111111111,38,31,False,False,True,False,True
108,8,29.333333333333332,18.0,42.0,24.0,2,0,2,4.888888888888888,30,0,False,False,False,True,True
109,9,24.666666666666668,-10.0,42.0,52.0,0,5,0,4.111111111111112,0,0,False,False,False,False,False
110,0,20.666666666666668,18.0,26.0,8.0,2,0,2,3.4444444444444446,0,0,True,True,False,False,False
111,1,26.666666666666668,-4.0,42.0,46.0,2,5,2,4.444444444444445,30,0,True,True,False,False,False
112,2,36.666666666666664,28.0,42.0,14.0,2,15,2,6.111111111111111,38,30,False,False,True,False,True
113,3,11.333333333333334,-4.0,30.0,34.0,0,0,0,1.888888888888889,0,0,False,False,False,False,False
114,4,24.666666666666668,4.0,42.0,38.0,0,10,0,4.111111111111112,0,0,False,False,False,False,False
115,5,34.0,18.0,42.0,24.0,2,10,2,5.666666666666667,34,0,False,False,True,True,False
116,6,12.666666666666666,-14.0,38.0,52.0,1,20,0,2.111111111111111,0,0,False,True,False,False,False
117,7,28.0,26.0,30.0,4.0,3,20,3,4.666666666666667,30,30,True,False,True,False,True
118,8,-26.0,-40.0,2.0,42.0,0,0,0,0.0,0,0,False,False,False,False,False
119,9,12.0,-30.0,38.0,68.0,1,10,0,2.0,0,0,False,True,False,False,False
120,0,41.333333333333336,40.0,42.0,2.0,2,5,2,6.888888888888889,42,42,True,False,False,False,True
121,1,-0.6666666666666666,-6.0,8.0,14.0,0,10,0,0.0,0,0,False,False,False,False,False
122,2,14.666666666666666,-16.0,42.0,58.0,1,0,0,2.444444444444444,0,0,False,False,False,False,True
123,3,29.333333333333332,6.0,42.0,36.0,3,15,3,4.888888888888888,30,0,True,True,True,False,False
124,4,-29.333333333333332,-42.0,-6.0,36.0,2,10,0,0.0,0,0,False,False,True,True,False
125,5,36.0,30.0,40.0,10.0,2,10,2,6.0,38,31,False,True,True,False,False
126,6,0.6666666666666666,-18.0,16.0,34.0,1,5,0,0.1111111111111111,0,0,True,False,False,False,False
127,7,-14.666666666666666,-42.0,26.0,68.0,0,5,0,0.0,0,0,False,False,False,False,False
128,8,-8.0,-12.0,-4.0,8.0,1,0,0,0.0,0,0,False,False,False,True,False
129,9,16.0,-2.0,30.0,32.0,0,5,0,2.6666666666666665,0,0,False,False,False,False,False
130,0,29.333333333333332,6.0,42.0,36.0,2,5,2,4.888888888888888,30,0,True,False,False,True,False
131,1,2.0,-6.0,8.0,14.0,1,15,1,0.3333333333333333,0,0,False,False,True,False,False
132,2,-6.666666666666667,-42.0,40.0,82.0,1,20,0,0.0,0,0,False,False,False,True,False
133,3,11.333333333333334,-28.0,42.0,70.0,1,10,0,1.888888888888889,0,0,False,True,False,False,False
134,4,42.0,42.0,42.0,0.0,1,15,1,7.0,42,42,False,True,False,False,False
135,5,4.666666666666667,-18.0,18.0,36.0,0,0,0,0.7777777777777778,0,0,False,False,False,False,False
136,6,8.666666666666666,4.0,18.0,14.0,1,25,1,1.4444444444444444,0,0,False,False,True,False,False
137,7,36.666666666666664,36.0,38.0,2.0,2,10,2,6.111111111111111,38,38,True,False,True,False,False
138,8,29.333333333333332,20.0,42.0,22.0,0,0,0,4.888888888888888,30,0,False,False,False,False,False
139,9,15.333333333333334,-14.0,42.0,56.0,1,5,0,2.555555555555556,0,0,False,False,False,True,False
140,0,26.666666666666668,-2.0,42.0,44.0,2,5,2,4.444444444444445,30,0,False,True,False,False,True
141,1,16.666666666666668,-8.0,40.0,48.0,2,15,2,2.777777777777778,0,0,False,False,True,False,True
142,2,4.666666666666667,-10.0,30.0,40.0,1,0,0,0.7777777777777778,0,0,False,True,False,False,False
143,3,17.333333333333332,4.0,30.0,26.0,1,20,1,2.888888888888889,0,0,False,False,False,False,True
144,4,5.333333333333333,-4.0,16.0,20.0,2,15,2,0.8888888888888888,0,0,True,False,True,False,False
145,5,1.3333333333333333,-30.0,40.0,70.0,1,0,0,0.2222222222222222,0,0,False,False,False,True,False
146,6,18.0,2.0,38.0,36.0,1,15,1,3.0,0,0,False,False,True,False,False
147,7,11.333333333333334,-4.0,28.0,32.0,1,10,1,1.888888888888889,0,0,False,False,False,True,False
148,8,0.0,-14.0,10.0,24.0,1,0,0,0.0,0,0,False,True,False,False,False
149,9,42.0,42.0,42.0,0.0,2,10,2,7.0,42,42,True,True,False,False,False
150,0,29.333333333333332,18.0,42.0,24.0,2,5,2,4.888888888888888,30,0,False,True,False,True,False
151,1,14.666666666666666,-6.0,30.0,36.0,0,5,0,2.444444444444444,0,0,False,False,False,False,False
152,2,15.333333333333334,-38.0,42.0,80.0,1,10,0,2.555555555555556,0,0,False,False,False,False,True
153,3,14.0,-36.0,40.0,76.0,1,15,0,2.3333333333333335,0,0,False,False,False,False,True
154,4,8.666666666666666,4.0,14.0,10.0,1,10,1,1.4444444444444444,0,0,False,False,True,False,False
155,5,13.333333333333334,-6.0,42.0,48.0,1,0,1,2.2222222222222223,0,0,False,True,False,False,False
156,6,1.3333333333333333,-40.0,40.0,80.0,2,15,0,0.2222222222222222,0,0,False,False,True,False,True
157,7,19.333333333333332,-4.0,42.0,46.0,3,0,3,3.222222222222222,0,0,False,True,False,True,True
158,8,28.0,14.0,40.0,26.0,1,5,1,4.666666666666667,30,0,False,False,False,False,True
159,9,28.666666666666668,4.0,42.0,38.0,2,10,2,4.777777777777778,30,0,True,False,False,True,False
160,0,4.666666666666667,-8.0,16.0,24.0,2,15,2,0.7777777777777778,0,0,True,False,True,False,False
161,1,4.666666666666667,-8.0,18.0,26.0,0,5,0,0.7777777777777778,0,0,False,False,False,False,False
162,2,37.333333333333336,30.0,42.0,12.0,1,15,1,6.222222222222222,38,31,False,False,False,True,False
163,3,27.333333333333332,20.0,42.0,22.0,0,5,0,4.555555555555555,30,0,False,False,False,False,False
164,4,-20.666666666666668,-28.0,-16.0,12.0,0,5,0,0.0,0,0,False,False,False,False,False
165,5,10.666666666666666,4.0,16.0,12.0,2,20,2,1.7777777777777777,0,0,False,True,True,False,False
166,6,3.3333333333333335,-2.0,8.0,10.0,1,5,1,0.5555555555555556,0,0,False,False,False,False,True
167,7,26.666666666666668,18.0,40.0,22.0,3,15,3,4.444444444444445,30,0,True,False,True,True,False
168,8,-5.333333333333333,-18.0,6.0,24.0,0,5,0,0.0,0,0,False,False,False,False,False
169,9,35.333333333333336,28.0,42.0,14.0,3,10,3,5.888888888888889,34,30,False,True,True,True,False
170,0,28.0,20.0,40.0,20.0,2,15,2,4.666666666666667,30,0,False,True,True,False,False
171,1,36.666666666666664,28.0,42.0,14.0,0,5,0,6.111111111111111,38,30,False,False,False,False,False
172,2,32.666666666666664,16.0,42.0,26.0,0,0,0,5.444444444444444,31,0,False,False,False,False,False
173,3,6.0,-16.0,42.0,58.0,2,5,0,1.0,0,0,False,False,False,True,True
174,4,-24.0,-38.0,-16.0,22.0,1,5,0,0.0,0,0,False,False,False,True,False
175,5,26.666666666666668,26.0,28.0,2.0,2,20,2,4.444444444444445,30,30,False,False,True,False,True
176,6,-12.0,-28.0,18.0,46.0,0,5,0,0.0,0,0,False,False,False,False,False
177,7,10.0,-26.0,40.0,66.0,1,0,0,1.6666666666666667,0,0,False,True,False,False,False
178,8,16.666666666666668,-6.0,38.0,44.0,0,5,0,2.777777777777778,0,0,False,False,False,False,False
179,9,-2.0,-30.0,16.0,46.0,0,15,0,0.0,0,0,False,False,False,False,False
180,0,24.0,8.0,40.0,32.0,1,10,1,4.0,0,0,True,False,False,False,False
181,1,32.0,16.0,42.0,26.0,1,20,1,5.333333333333333,31,0,False,False,True,False,False
182,2,24.0,4.0,42.0,38.0,0,0,0,4.0,0,0,False,False,False,False,False
183,3,35.333333333333336,28.0,40.0,12.0,1,5,1,5.888888888888889,34,30,False,True,False,False,False
184,4,23.333333333333332,20.0,26.0,6.0,3,25,3,3.888888888888889,0,0,True,False,True,True,False
185,5,6.0,-16.0,38.0,54.0,0,0,0,1.0,0,0,False,False,False,False,False
186,6,11.333333333333334,-8.0,38.0,46.0,1,20,1,1.888888888888889,0,0,True,False,False,False,False
187,7,-2.6666666666666665,-16.0,16.0,32.0,0,5,0,0.0,0,0,False,False,False,False,False
188,8,-6.666666666666667,-8.0,-6.0,2.0,0,0,0,0.0,0,0,False,False,False,False,False
189,9,34.0,18.0,42.0,24.0,1,0,1,5.666666666666667,34,0,False,True,False,False,False
190,0,24.0,16.0,36.0,20.0,1,10,1,4.0,0,0,False,True,False,False,False
191,1,26.666666666666668,-4.0,42.0,46.0,2,10,2,4.444444444444445,30,0,True,True,False,False,False
192,2,31.333333333333332,26.0,38.0,12.0,2,15,2,5.222222222222222,31,30,False,False,True,True,False
193,3,12.0,-2.0,28.0,30.0,1,15,1,2.0,0,0,False,False,False,True,False
194,4,9.333333333333334,-8.0,28.0,36.0,2,10,2,1.5555555555555556,0,0,True,False,True,False,False
195,5,18.666666666666668,4.0,28.0,24.0,1,10,1,3.111111111111111,0,0,False,False,False,True,False
196,6,2.0,-14.0,16.0,30.0,0,5,0,0.3333333333333333,0,0,False,False,False,False,False
197,7,1.3333333333333333,-30.0,42.0,72.0,1,25,0,0.2222222222222222,0,0,False,False,True,False,False
198,8,10.0,-6.0,30.0,36.0,1,25,1,1.6666666666666667,0,0,False,False,True,False,False
199,9,42.0,42.0,42.0,0.0,1,0,1,7.0,42,42,False,True,False,False,False
